Label;dim1;dim2;dim3;dim4;dim5
1;345;4.6376811594;16;309.5789473684;4.1425818882
2;346;4.3352601156;15;309.5789473684;4.1425818882
3;347;1.7291066282;6;309.5789473684;4.1425818882
4;348;6.8965517241;24;309.5789473684;4.1425818882
5;349;0;0;309.5789473684;4.1425818882
6;350;0.5714285714;2;309.5789473684;4.1425818882
7;351;0.8547008547;3;309.5789473684;4.1425818882
8;352;1.7045454545;6;309.5789473684;4.1425818882
9;353;1.4164305949;5;309.5789473684;4.1425818882
10;354;3.3898305085;12;309.5789473684;4.1425818882
11;355;3.3802816901;12;309.5789473684;4.1425818882
12;356;10.393258427;37;309.5789473684;4.1425818882
13;357;4.2016806723;15;309.5789473684;4.1425818882
14;358;11.4525139665;41;309.5789473684;4.1425818882
15;359;0;0;309.5789473684;4.1425818882
16;360;0.2777777778;1;309.5789473684;4.1425818882
17;361;9.972299169;36;309.5789473684;4.1425818882
18;362;2.2099447514;8;309.5789473684;4.1425818882
19;363;10.1928374656;37;309.5789473684;4.1425818882
20;364;3.021978022;11;309.5789473684;4.1425818882
21;365;2.1917808219;8;309.5789473684;4.1425818882
22;366;11.2021857923;41;309.5789473684;4.1425818882
23;367;0;0;309.5789473684;4.1425818882
24;368;0.2717391304;1;309.5789473684;4.1425818882
25;369;2.1680216802;8;309.5789473684;4.1425818882
26;370;2.1621621622;8;309.5789473684;4.1425818882
27;371;1.8867924528;7;309.5789473684;4.1425818882
28;372;11.0215053763;41;309.5789473684;4.1425818882
29;373;22.5201072386;84;309.5789473684;4.1425818882
30;374;5.614973262;21;309.5789473684;4.1425818882
31;375;12;45;309.5789473684;4.1425818882
32;376;1.0638297872;4;309.5789473684;4.1425818882
33;377;1.5915119363;6;309.5789473684;4.1425818882
34;378;0.7936507937;3;309.5789473684;4.1425818882
35;379;4.4854881266;17;309.5789473684;4.1425818882
36;380;1.8421052632;7;309.5789473684;4.1425818882
37;381;1.8372703412;7;309.5789473684;4.1425818882
38;382;2.3560209424;9;309.5789473684;4.1425818882
39;383;3.1331592689;12;309.5789473684;4.1425818882
40;384;2.0833333333;8;309.5789473684;4.1425818882
41;385;1.5584415584;6;309.5789473684;4.1425818882
42;131;3.0534351145;4;309.5789473684;4.1425818882
43;162;4.3209876543;7;309.5789473684;4.1425818882
44;161;3.1055900621;5;309.5789473684;4.1425818882
45;179;3.3519553073;6;309.5789473684;4.1425818882
46;76;0;0;309.5789473684;4.1425818882
47;108;0.9259259259;1;309.5789473684;4.1425818882
48;107;2.8037383178;3;309.5789473684;4.1425818882
49;255;1.9607843137;5;309.5789473684;4.1425818882
50;82;0;0;309.5789473684;4.1425818882
51;437;6.4073226545;28;309.5789473684;4.1425818882
52;276;5.0724637681;14;309.5789473684;4.1425818882
53;18;0;0;309.5789473684;4.1425818882
54;205;3.9024390244;8;309.5789473684;4.1425818882
55;141;7.0921985816;10;309.5789473684;4.1425818882
56;148;1.3513513514;2;309.5789473684;4.1425818882
57;195;4.1025641026;8;309.5789473684;4.1425818882
